step,loss_fgpa_tail,mean_flux_pred,loss_data,loss_meanF,tau_amp,loss
1,6.367251396179199,0.8687241971492767,0.022007212042808533,0.012160752694371581,1.0,0.6708931043551001
2,6.367251396179199,0.8687241971492767,0.022007212042808533,0.012160752694371581,1.0,0.6708931043551001
3,6.366227149963379,0.8692284524440765,0.02189514972269535,0.012049792652822362,0.9998999834060669,0.6705676573918556
4,6.364161491394043,0.870228499174118,0.021674826741218567,0.011831239391914836,0.9997000694274902,0.6699222154525011
5,6.360995769500732,0.8717207610607147,0.021351084113121033,0.011508835107392259,0.9994003772735596,0.6689594968900986
6,6.356555938720703,0.873741865158081,0.020923100411891937,0.011079274950399587,0.9990012645721436,0.6676579712313235
7,6.350493431091309,0.87642902135849,0.020371612161397934,0.010520805659477099,0.9985032677650452,0.6659417654172404
8,6.343578338623047,0.8794009983539581,0.01977616176009178,0.009919961128888247,0.9980071187019348,0.6640539647102393
9,6.334793567657471,0.8827300667762756,0.019131766632199287,0.009267900042900346,0.9975144267082214,0.6618790358276289
10,6.322743892669678,0.8868129253387451,0.018370352685451508,0.008498456734599778,0.9970267415046692,0.6591432164200084
11,6.306156158447266,0.8923703134059906,0.017392445355653763,0.007504702599376288,0.9965457320213318,0.6555127877461701
12,6.282619476318359,0.9000549912452698,0.016142897307872772,0.0062323144072844285,0.996073305606842,0.6506371903067348
13,6.247316837310791,0.9104661047458649,0.014641680754721165,0.004696894798704763,0.9956115484237671,0.6440702979709899
14,6.190946102142334,0.9240184128284454,0.013015452772378922,0.0030229749279032515,0.995163083076477,0.6351330849334417
15,6.098258972167969,0.9407110512256622,0.011515453457832336,0.0014660435982438603,0.9947304725646973,0.6228074501026347
16,5.9443793296813965,0.9594273567199707,0.010484838858246803,0.0003830883649672753,0.9943161606788635,0.6053059251725019
17,5.691969871520996,0.9771794080734253,0.0101463096216321,3.3145549631089354e-06,0.99392169713974,0.5793466856724944
18,5.296796798706055,0.9901989102363586,0.0102882981300354,0.0001254155904820188,0.9935472011566162,0.540093477409056
19,4.711930274963379,0.996990293264389,0.010501569136977196,0.00032365065173872227,0.9931918978691101,0.48201834062029597
20,3.884641408920288,0.9993783235549927,0.010603746399283409,0.0004152760709119701,0.9928547739982605,0.3994832662050402
21,2.731355667114258,0.9999220073223114,0.010628655552864075,0.0004377303903948527,0.9925371408462524,0.28420206487936056
22,1.1394104957580566,0.9999948740005493,0.010632164776325226,0.00044078473429894245,0.9922431707382202,0.12501412036400492
23,0.8969153761863708,0.9999999701976776,0.010632410645484924,0.00044099874830334866,0.9919746518135071,0.10076507686712484
24,2.2961745262145996,1.0,0.010632417164742947,0.0004410000000000008,0.9917494654655457,0.24069100705986168
25,3.031500816345215,1.0,0.010632418096065521,0.0004410000000000008,0.9915615916252136,0.3142236433542796
26,3.1092514991760254,1.0,0.010632418096065521,0.0004410000000000008,0.9914059042930603,0.3219987170109027
27,2.709207057952881,1.0,0.010632417164742947,0.0004410000000000008,0.9912781119346619,0.2819942764404052
28,2.0176596641540527,1.0,0.010632416233420372,0.0004410000000000008,0.9911748170852661,0.21283953980339831
29,1.2072004079818726,1.0,0.010632412508130074,0.0004410000000000008,0.9910929203033447,0.13179361340373838
30,0.5476309061050415,0.9999996423721313,0.01063239574432373,0.00044098497975741507,0.9910297393798828,0.065836633720295
31,0.5000236630439758,0.9999983310699463,0.010632332414388657,0.00044092990772307244,0.9909822344779968,0.0610757927448428
32,0.7846786975860596,0.9999962449073792,0.010632237419486046,0.00044084230021064567,0.9909347891807556,0.08954111533682693
33,0.9649666547775269,0.9999947845935822,0.010632166638970375,0.00044078098013091533,0.9908878207206726,0.10756978068747818
34,0.9950641393661499,0.9999946057796478,0.01063215360045433,0.0004407734718428227,0.9908419251441956,0.11057951029965114
35,0.9104365110397339,0.9999953508377075,0.010632192716002464,0.00044080475679842665,0.990797758102417,0.10211681951189425
36,0.7508996725082397,0.9999965727329254,0.01063225045800209,0.00044085606652902783,0.9907558560371399,0.08616324627623204
37,0.5631804466247559,0.9999977648258209,0.010632305406033993,0.0004409061276804832,0.990716814994812,0.06739143016488959
38,0.4075748026371002,0.9999985694885254,0.01063234731554985,0.0004409399205644303,0.9906808733940125,0.05183094282509702
39,0.3407210111618042,0.9999991953372955,0.010632375255227089,0.0004409662048138952,0.9906485676765442,0.04514561912466991
40,0.3662142753601074,0.999999463558197,0.010632389225065708,0.00044097746973204547,0.9906224608421326,0.04769497177060623
41,0.4155859351158142,0.9999995827674866,0.01063239574432373,0.0004409824764085198,0.9906035661697388,0.0526321499908596
42,0.4405101239681244,0.9999996423721313,0.010632399469614029,0.00044098497975741507,0.9905910491943359,0.05512457558402625
43,0.43714675307273865,0.9999996721744537,0.010632399469614029,0.00044098623143452723,0.9905831813812256,0.05478824004559955
44,0.41590625047683716,0.9999996423721313,0.01063239760696888,0.00044098497975741507,0.9905787110328674,0.052664186841609846
45,0.3880889415740967,0.999999612569809,0.01063239574432373,0.00044098372808207926,0.9905766248703003,0.04988245291841873
