model,physics,pearson_log_in_band,amplitude_ratio_mean,amplitude_ratio_std,log10_std_pred_in_band,log10_std_truth_in_band
sat_aware_intervention,P1,0.834617053552296,0.42928034232712786,0.12107347182092874,0.2161401921473702,0.1594843421668013
production_baseline,P1,0.8064461720117067,0.9801987710092395,0.46023657919267347,0.3171697344378225,0.1594843421668013
production_baseline,P2,0.8718970143620127,0.973238389432703,0.42241287057827953,0.33817748150240556,0.1857545702109771
production_baseline,P3,0.8933535102611893,0.7418891048906101,0.3058098462580135,0.3258183548107762,0.19340217941707397
production_baseline,P4,0.8658973100858329,0.790784580360972,0.33810025259036214,0.3073527282273748,0.16331929044059762
