step,loss_total,loss_data,loss_mean_flux_term,mean_flux_pred,tau_amp
1,0.031780624789945706,0.020825542509555817,0.010955082280389888,0.8743334710597992,1.0
2,0.031780624789945706,0.020825542509555817,0.010955082280389888,0.8743334710597992,1.0
3,0.03148600759555901,0.020677506923675537,0.010808500651883485,0.8750360608100891,0.9998999834060669
4,0.03091009336548354,0.020388174802064896,0.010521918383524927,0.8764235973358154,0.999700129032135
5,0.03007764889872512,0.019970469176769257,0.010107179003393718,0.8784655332565308,0.999400794506073
6,0.029002092070642336,0.019431836903095245,0.00957025317661976,0.8811723291873932,0.9990027546882629
7,0.027646219335787346,0.01875455677509308,0.008891658099233944,0.8847044110298157,0.998507559299469
8,0.026205874798226537,0.018037207424640656,0.00816865948885981,0.8886193633079529,0.9980164170265198
9,0.024629579146220035,0.017253423109650612,0.007376143822885945,0.8931155204772949,0.9975318312644958
10,0.022854642450914266,0.016371682286262512,0.006482942784562704,0.8984832763671875,0.9970564246177673
11,0.020841861628159226,0.015372276306152344,0.0054695620310935755,0.9050435125827789,0.9965932369232178
12,0.01856295227375392,0.014242011122405529,0.00432091132776929,0.9132663607597351,0.9961458444595337
13,0.016071795540265013,0.013008996844291687,0.0030627618762262853,0.9236577749252319,0.9957185387611389
14,0.01356998669652577,0.011778684332966805,0.001791258282315279,0.9366767406463623,0.9953162670135498
15,0.011468725614780706,0.010754788294434547,0.0007138859447948924,0.9522813558578491,0.9949445128440857
16,0.010293877449976318,0.01019451953470707,9.929945091982685e-05,0.9690350890159607,0.9946079254150391
17,0.010177604471879587,0.010157383047044277,2.0156265739044496e-05,0.9834895730018616,0.9943084120750427
18,0.010521560678065844,0.010341621935367584,0.00017986737876720383,0.9924114644527435,0.9940443634986877
19,0.010800028169994987,0.010487515479326248,0.0003124356364877183,0.9966758489608765,0.9938122034072876
20,0.010945533768905481,0.010563883930444717,0.000381567605529602,0.9985337555408478,0.993608295917511
21,0.011013265007524494,0.010599702596664429,0.00041347549708708976,0.9993340969085693,0.9934294819831848
22,0.01104422659787196,0.01061625313013792,0.00042788235088773345,0.9996853172779083,0.9932730197906494
23,0.011058639091488543,0.010624061338603497,0.00043448288576280276,0.9998442530632019,0.993136465549469
24,0.011065585480671422,0.010627889074385166,0.00043759821320009536,0.9999188482761383,0.9930176138877869
25,0.011069079764309724,0.010629850439727306,0.000439128199198029,0.9999553859233856,0.9929144978523254
26,0.011070909230961781,0.010630892589688301,0.00043991294555519825,0.9999741017818451,0.9928253293037415
27,0.011071904998463535,0.010631467215716839,0.000440331846782895,0.999984085559845,0.992748498916626
28,0.011072470868980756,0.010631795972585678,0.00044056701898023047,0.9999896883964539,0.9926825761795044
29,0.011072801704225418,0.010631988756358624,0.00044070339757104734,0.9999929368495941,0.9926263093948364
30,0.01107300804874819,0.010632109828293324,0.00044078723708650895,0.9999949336051941,0.992578387260437
31,0.01107313976927355,0.010632185265421867,0.00044084230021064567,0.9999962449073792,0.9925378561019897
32,0.011073223632228147,0.010632235556840897,0.00044087483912775665,0.9999970197677612,0.9925037622451782
33,0.011073285561846771,0.010632269084453583,0.0004409023729955362,0.9999976754188538,0.992475152015686
34,0.011073323948065848,0.010632294230163097,0.00044091488867419856,0.9999979734420776,0.9924513697624207
35,0.01107335414874803,0.010632310062646866,0.00044092865612589634,0.9999983012676239,0.9924317598342896
36,0.011073375511131075,0.010632322169840336,0.0004409374173434327,0.9999985098838806,0.9924156069755554
37,0.011073392416462189,0.010632332414388657,0.0004409436754092493,0.9999986588954926,0.9924024939537048
38,0.01107340333611757,0.010632338002324104,0.0004409486818938771,0.9999987781047821,0.9923919439315796
39,0.011073409504311455,0.010632342658936977,0.00044094993351947493,0.9999988079071045,0.9923834800720215
40,0.011073414686600308,0.010632346384227276,0.0004409511851468491,0.9999988377094269,0.9923768639564514
41,0.011073421395626467,0.010632349178195,0.0004409549400396298,0.999998927116394,0.992371678352356
42,0.01107342463297892,0.010632351040840149,0.0004409561916741094,0.9999989569187164,0.992367684841156
43,0.011073426588596254,0.010632352903485298,0.0004409561916741094,0.9999989569187164,0.9923646450042725
44,0.011073428520122894,0.010632354766130447,0.0004409561916741094,0.9999989569187164,0.9923624396324158
45,0.011073428570014136,0.010632354766130447,0.0004409561916741094,0.9999989569187164,0.9923608303070068
46,0.011073428605222495,0.010632354766130447,0.0004409561916741094,0.9999989569187164,0.9923596978187561
47,0.0110734298809931,0.010632354766130447,0.0004409574433103654,0.9999989867210388,0.992358922958374
48,0.011073432079982643,0.010632355697453022,0.00044095869494839774,0.9999990165233612,0.992358386516571
49,0.011073432090358158,0.010632355697453022,0.00044095869494839774,0.9999990165233612,0.9923580288887024
50,0.011073432097044764,0.010632355697453022,0.00044095869494839774,0.9999990165233612,0.9923578500747681
