step,metric,value
229,train_mse,0.2490514666
230,train_mse,0.2114346623
231,train_mse,0.2767617106
232,train_mse,0.2798154652
233,train_mse,0.2503684759
234,train_mse,0.239772141
235,train_mse,0.271317482
236,train_mse,0.2531737685
237,train_mse,0.2558037043
238,train_mse,0.2370455563
239,train_mse,0.2655926943
240,train_mse,0.2170953453
241,train_mse,0.2512194216
242,train_mse,0.2597582936
243,train_mse,0.2830130756
244,train_mse,0.251093775
245,train_mse,0.2483128905
246,train_mse,0.2256109416
247,train_mse,0.3225543499
248,train_mse,0.2725714743
249,train_mse,0.2259996831
250,train_mse,0.2531528473
251,train_mse,0.2199541032
252,train_mse,0.2398492694
253,train_mse,0.241012603
254,train_mse,0.2572628856
255,train_mse,0.2815732062
256,train_mse,0.2475568652
257,train_mse,0.2368119955
258,train_mse,0.2480374873
259,train_mse,0.28343606
260,train_mse,0.240482986
261,train_mse,0.262037158
262,train_mse,0.2489123791
263,train_mse,0.2833685279
264,train_mse,0.2541177273
265,train_mse,0.2646182775
266,train_mse,0.2379654944
267,train_mse,0.2709130645
268,train_mse,0.2441236824
269,train_mse,0.2542963326
270,train_mse,0.2702995241
271,train_mse,0.2878624201
272,train_mse,0.2621820867
273,train_mse,0.2520567477
274,train_mse,0.2537398636
275,train_mse,0.2543718815
276,train_mse,0.2315936983
277,train_mse,0.2649785876
278,train_mse,0.2345030457
279,train_mse,0.2516806722
280,train_mse,0.2675022185
281,train_mse,0.2855695188
282,train_mse,0.2827477455
283,train_mse,0.2799764872
284,train_mse,0.2226700485
285,train_mse,0.2604889274
286,train_mse,0.2649386525
287,train_mse,0.243375659
288,train_mse,0.2521906793
289,train_mse,0.2613899112
290,train_mse,0.2589999437
291,train_mse,0.2612955868
292,train_mse,0.2452408671
293,train_mse,0.2915815413
294,train_mse,0.2313576639
295,train_mse,0.2900387645
296,train_mse,0.2735595107
297,train_mse,0.2686648369
298,train_mse,0.2634418607
299,train_mse,0.234928906
300,train_mse,0.2358275205
301,train_mse,0.2622575164
302,train_mse,0.2952851653
303,train_mse,0.2364024818
304,train_mse,0.2418412864
305,train_mse,0.249711141
306,train_mse,0.2488280386
307,train_mse,0.265394181
308,train_mse,0.2466596067
309,train_mse,0.2471380234
310,train_mse,0.2842921615
311,train_mse,0.2808575034
312,train_mse,0.2214630246
313,train_mse,0.2507847548
314,train_mse,0.286990881
315,train_mse,0.2254466414
316,train_mse,0.261502862
317,train_mse,0.2346955538
318,train_mse,0.2527472377
319,train_mse,0.2770196795
320,train_mse,0.26818344
321,train_mse,0.2844597399
322,train_mse,0.2315841317
323,train_mse,0.2227497399
324,train_mse,0.2281143665
325,train_mse,0.2287474126
326,train_mse,0.2582451105
327,train_mse,0.253051728
328,train_mse,0.2172474116
329,train_mse,0.275688529
330,train_mse,0.248066932
331,train_mse,0.2558324933
332,train_mse,0.2350468487
333,train_mse,0.2601364851
334,train_mse,0.2324116677
335,train_mse,0.2528506517
336,train_mse,0.2841888368
337,train_mse,0.2547934651
338,train_mse,0.2626981139
339,train_mse,0.2472330928
340,train_mse,0.2276337147
341,train_mse,0.2578719258
342,train_mse,0.2450434268
343,train_mse,0.2953846455
344,train_mse,0.2242463827
345,train_mse,0.2264851332
346,train_mse,0.2421278059
347,train_mse,0.2677391469
348,train_mse,0.2639315724
349,train_mse,0.238181293
350,train_mse,0.2569822967
351,train_mse,0.2625417709
352,train_mse,0.2507825792
353,train_mse,0.2818442881
354,train_mse,0.2498599589
355,train_mse,0.2305616587
356,train_mse,0.3114524484
357,train_mse,0.2465660274
358,train_mse,0.2566483617
359,train_mse,0.2549589276
360,train_mse,0.24317123
361,train_mse,0.2690956891
362,train_mse,0.2784998417
363,train_mse,0.2374468446
364,train_mse,0.2450916767
365,train_mse,0.226851657
366,train_mse,0.2427049279
367,train_mse,0.2527336478
368,train_mse,0.2579879463
369,train_mse,0.2176322043
370,train_mse,0.2532457709
371,train_mse,0.2484507561
372,train_mse,0.2503620088
373,train_mse,0.2162950039
374,train_mse,0.2598527074
375,train_mse,0.2323678583
376,train_mse,0.245195657
377,train_mse,0.2660933435
378,train_mse,0.272326231
379,train_mse,0.2578104734
380,train_mse,0.236438185
381,train_mse,0.2653777003
382,train_mse,0.2487421781
383,train_mse,0.2471149117
384,train_mse,0.2352809012
385,train_mse,0.3095380068
386,train_mse,0.2634091377
387,train_mse,0.2900438309
388,train_mse,0.2575964928
389,train_mse,0.2347356677
390,train_mse,0.2389777601
391,train_mse,0.2649899721
392,train_mse,0.2554727197
393,train_mse,0.2669090629
394,train_mse,0.2183922529
395,train_mse,0.2749569416
396,train_mse,0.2480211556
397,train_mse,0.252566278
398,train_mse,0.2427240163
399,train_mse,0.2741578817
400,train_mse,0.2553355694
401,train_mse,0.2288270593
402,train_mse,0.2549003661
403,train_mse,0.265119791
404,train_mse,0.2528761625
405,train_mse,0.2339846492
406,train_mse,0.2259794772
407,train_mse,0.2527729869
408,train_mse,0.2370755374
409,train_mse,0.2841890156
410,train_mse,0.2443143725
411,train_mse,0.2678743005
412,train_mse,0.2477179766
413,train_mse,0.247387886
414,train_mse,0.2626622319
415,train_mse,0.2412134707
416,train_mse,0.2994993329
417,train_mse,0.2410580516
418,train_mse,0.2659218907
419,train_mse,0.2638613582
420,train_mse,0.2440776527
421,train_mse,0.2541906834
422,train_mse,0.249175638
423,train_mse,0.2424900532
424,train_mse,0.279843241
425,train_mse,0.2804813981
426,train_mse,0.2566607594
427,train_mse,0.2524321079
428,train_mse,0.2790560722
429,train_mse,0.2400399446
430,train_mse,0.2489283681
431,train_mse,0.2321983576
432,train_mse,0.2510297298
433,train_mse,0.2748365402
434,train_mse,0.2386155725
435,train_mse,0.220105812
436,train_mse,0.2753431201
437,train_mse,0.2286436111
438,train_mse,0.2420135587
439,train_mse,0.2612977624
440,train_mse,0.2594511509
441,train_mse,0.2365314662
442,train_mse,0.238001287
443,train_mse,0.246179387
444,train_mse,0.2513749003
445,train_mse,0.2443854511
446,train_mse,0.2224296331
447,train_mse,0.2625451088
448,train_mse,0.2835105956
449,train_mse,0.2457322478
450,train_mse,0.2453096509
451,train_mse,0.2382534444
452,train_mse,0.248897627
453,train_mse,0.2518137097
454,train_mse,0.2723336518
455,train_mse,0.2680303454
456,train_mse,0.2630519271
457,train_mse,0.256529808
458,train_mse,0.2426110357
459,train_mse,0.2497493327
460,train_mse,0.2521689534
461,train_mse,0.2192834467
462,train_mse,0.2594374418
463,train_mse,0.2634087801
464,train_mse,0.2213463634
465,train_mse,0.2439254671
466,train_mse,0.2396134287
467,train_mse,0.2182011306
468,train_mse,0.2569196522
469,train_mse,0.2470528036
470,train_mse,0.2800505161
471,train_mse,0.2454907447
472,train_mse,0.2482322305
473,train_mse,0.2575429082
474,train_mse,0.2387772799
475,train_mse,0.2519540787
476,train_mse,0.2438169271
477,train_mse,0.2648619413
478,train_mse,0.2652751207
479,train_mse,0.2693421543
480,train_mse,0.2727864087
481,train_mse,0.2511051297
482,train_mse,0.219982028
483,train_mse,0.2596713901
484,train_mse,0.2504328191
485,train_mse,0.2140163779
486,train_mse,0.2690441608
487,train_mse,0.2378889769
488,train_mse,0.2710643411
489,train_mse,0.2919640839
490,train_mse,0.2616813183
