,Density,Temperature,H1_Fraction,Tau_GroundTruth
count,2048.0,2048.0,2048.0,2048.0
mean,0.4512046707560057,3410.0926775324233,9.624946254420737e-07,0.032165748257407464
std,1.3237388707613444,4395.448522971637,8.943243260197705e-07,0.17216764746201552
min,0.025409465703561583,730.8173969341868,2.6172090825749045e-07,0.00011318189695556676
25%,0.08313795914181747,1392.937586080237,4.936138955061341e-07,0.0007334987188860225
50%,0.16458039219019754,2011.4948555863734,7.176183388214063e-07,0.0020811416860038994
75%,0.31950400069982754,3244.6837729629738,1.0625084415183355e-06,0.00663898402219312
max,24.215089857036276,37926.971388824175,1.1258178780046314e-05,2.289976435740945
