v_km_per_s,F_mlp,F_truth
0.0,0.9999656398695759,0.9996149085286068
2.6365028403716595,0.9999580039453706,0.9995984014132665
5.273005680743319,0.9999498970029015,0.9995805223685377
7.9095085211149785,0.9999419137156629,0.9995607673215376
10.546011361486638,0.9999348337794022,0.9995378693955455
13.182514201858297,0.9999294717479122,0.9995097860773227
15.819017042229955,0.9999264434651511,0.9994741960390345
18.455519882601614,0.9999259466266776,0.999428665823508
21.092022722973272,0.9999276040921371,0.9993705295036581
23.72852556334493,0.9999304374763245,0.9992972600425405
26.36502840371659,0.999933043240871,0.999207131696407
29.00153124408825,0.9999339006190525,0.999099627367649
31.638034084459907,0.9999317700561811,0.998975605009539
34.274536924831565,0.9999260738664851,0.9988372234875251
36.91103976520323,0.9999171252348389,0.9986876016192037
39.54754260557489,0.9999060650691021,0.9985303922312543
42.18404544594655,0.9998945035612786,0.998369866961692
44.820548286318214,0.9998838529726097,0.9982121726497711
47.457051126689876,0.9998746665192363,0.9980664913682604
50.09355396706154,0.9998661762859573,0.997943634582897
52.7300568074332,0.999856345051973,0.9978524476975322
55.36655964780486,0.999842492550763,0.9977969771979013
58.003062488176525,0.9998223019806287,0.9977760718704886
60.63956532854819,0.9997948300815273,0.9977846544666714
63.27606816891985,0.9997610509910417,0.9978150494655561
65.91257100929151,0.9997236417645751,0.9978576465934267
68.54907384966317,0.9996859259851025,0.9979014280982427
71.18557669003484,0.9996503727610453,0.9979351844800236
73.8220795304065,0.9996171633128529,0.9979496124982795
76.45858237077816,0.9995834582268848,0.9979394797626742
79.09508521114982,0.9995437408932001,0.9979047483298726
81.73158805152148,0.9994912958155022,0.997850340721111
84.36809089189315,0.9994204307137493,0.9977850949949737
87.00459373226481,0.9993286339737891,0.9977202212232765
89.64109657263647,0.9992177471920675,0.9976661403770793
92.27759941300813,0.999093556375136,0.9976262938703935
94.9141022533798,0.9989638010424183,0.9975899182153318
97.55060509375146,0.9988356707675703,0.9975298513034626
100.18710793412312,0.998713928378126,0.9974094288244048
102.82361077449478,0.9986008245119136,0.9971962899826391
105.46011361486644,0.9984973612511612,0.9968778674829404
108.0966164552381,0.9984048433004733,0.9964737734978824
110.73311929560977,0.9983253978201702,0.9960396159366254
113.36962213598143,0.99826122194732,0.9956562720397626
116.00612497635309,0.9982135165290797,0.9954043398079767
118.64262781672475,0.998182237138742,0.9953338952140991
121.27913065709642,0.9981670421091406,0.9954452769702368
123.91563349746808,0.9981681825156061,0.9956913511873314
126.55213633783974,0.9981861489117747,0.9959990454741954
129.1886391782114,0.9982200326449595,0.9962977667532447
131.82514201858305,0.9982653154389525,0.9965414002850096
134.4616448589547,0.9983136234874487,0.9967167953490117
137.09814769932638,0.9983538560624021,0.9968392298652919
139.73465053969804,0.9983747564378557,0.9969400676137243
142.3711533800697,0.9983649344493417,0.9970518750368506
145.00765622044136,0.9983105399696559,0.997194902388069
147.64415906081302,0.9981927875614082,0.997369978429304
150.2806619011847,0.9979905516191262,0.9975621933196819
152.91716474155635,0.9976900154054343,0.9977523382873068
155.553667581928,0.9973007693067631,0.9979268652390941
158.19017042229967,0.996867416088061,0.998080725559209
160.82667326267133,0.9964675755753626,0.9982149955736923
163.463176103043,0.9961916574449388,0.9983336793915163
166.09967894341466,0.9961113542658413,0.9984416972435858
168.73618178378632,0.9962519380207806,0.9985435426200319
171.37268462415798,0.9965827023677404,0.9986420269725985
174.00918746452965,0.9970298020312992,0.9987378971863596
176.6456903049013,0.9975032313781248,0.9988306503364922
179.28219314527297,0.997923512328517,0.9989194338068106
181.91869598564463,0.9982368912135139,0.9990033863670581
184.5551988260163,0.9984160771890168,0.9990815712178355
187.19170166638796,0.9984516435568976,0.9991530142055
189.82820450675962,0.998341090250634,0.9992171935358045
192.46470734713128,0.9980812912031188,0.9992741690384027
195.10121018750294,0.9976679287850987,0.9993240535927609
197.7377130278746,0.9971041940101931,0.9993668613385971
200.37421586824627,0.9964173728204535,0.999402933167455
203.01071870861793,0.995675820141319,0.999433136428444
205.6472215489896,0.9949921912950344,0.9994585644076835
208.28372438936125,0.9945003803643626,0.999480092389185
210.92022722973292,0.9943099735920995,0.9994982650554929
213.55673007010458,0.9944501542343087,0.9995134490646983
216.19323291047624,0.9948438507844134,0.9995257396665228
218.8297357508479,0.9953182742859706,0.9995348458912752
221.46623859121956,0.9956558106992752,0.9995402678686759
224.10274143159123,0.9956590376275355,0.9995413123529411
226.7392442719629,0.9952017883504437,0.999536913683408
229.37574711233455,0.9942505746742033,0.999525738521918
232.0122499527062,0.9928613195720339,0.9995065008917836
234.64875279307788,0.9911689694483882,0.9994781808505144
237.28525563344954,0.9893801575437908,0.9994401586400276
239.9217584738212,0.9877586201648997,0.9993922689604765
242.55826131419286,0.986580720944391,0.9993346533406356
245.19476415456452,0.9860549422636117,0.9992677739652123
247.8312669949362,0.9862352968358034,0.9991925932393948
250.46776983530785,0.9869827400257348,0.9991103398679134
253.1042726756795,0.9880101119072137,0.9990220448129146
255.74077551605117,0.9889966507751909,0.99892841138259
258.37727835642283,0.9897128698034442,0.9988302968266316
261.01378119679447,0.9900901590562351,0.9987299628455224
263.6502840371661,0.9902029974343328,0.9986323173350934
266.28678687753774,0.9901797121983952,0.998544658956385
268.92328971790937,0.9900937755128254,0.9984746640958158
271.559792558281,0.9898965835681687,0.998427754427573
274.19629539865264,0.9894326050047515,0.9984056385206913
276.83279823902427,0.9885365740604025,0.9984070994564707
279.4693010793959,0.9871640586307393,0.9984298718150003
282.10580391976754,0.9854783614831847,0.9984716003479835
284.7423067601392,0.9838320965737959,0.9985295517651995
287.3788096005108,0.9826358194775096,0.9986002547624528
290.01531244088244,0.9822054157902722,0.9986798290484078
292.6518152812541,0.9826179101371878,0.9987646425860208
295.2883181216257,0.983747173465097,0.9988518505399833
297.92482096199734,0.9853465350078361,0.9989396328038602
300.561323802369,0.98716748144438,0.9990265742296834
303.1978266427406,0.9890258667816961,0.9991103584030033
305.83432948311224,0.9908051371489508,0.9991876625655143
308.4708323234839,0.9924331555551883,0.9992558353715775
311.1073351638555,0.9938629571708898,0.99931380456659
313.74383800422714,0.9950677919095317,0.9993613078737954
316.3803408445988,0.996039136289413,0.9993983458966827
319.0168436849704,0.9967815782852266,0.9994254124572517
321.65334652534204,0.9973057542356225,0.9994434748353742
324.2898493657137,0.9976239581634939,0.9994535145346881
326.9263522060853,0.9977464641547479,0.9994562808341083
329.56285504645695,0.9976727269306658,0.9994523946975771
332.1993578868286,0.9973768762428908,0.9994422865990554
334.8358607272002,0.9967976836969036,0.9994260105489835
337.47236356757185,0.995851693993527,0.9994037036703747
340.1088664079435,0.994478487537364,0.999376119815895
342.7453692483151,0.9927049237192004,0.999344537918898
345.38187208868675,0.9906893459418206,0.9993104264504594
348.0183749290584,0.9887044645092488,0.9992754277569024
350.65487776943,0.9870501619208001,0.9992414563515076
353.29138060980165,0.9859415132658474,0.9992104538039048
355.9278834501733,0.9854303324358642,0.9991839600743536
358.5643862905449,0.9854196893058347,0.9991629934533849
361.20088913091655,0.9857405544111272,0.9991482144188214
363.8373919712882,0.9862408390996595,0.9991400921916469
366.4738948116598,0.9868296868255548,0.9991389666079818
369.11039765203145,0.9874624221342063,0.999144913288435
371.7469004924031,0.9880886163050787,0.9991574824608584
374.3834033327747,0.988598216022464,0.9991756678813246
377.01990617314635,0.9887967461461149,0.9991982662535258
379.656409013518,0.9884331448455057,0.9992242911255386
382.2929118538896,0.9872888716693083,0.9992531379435937
384.92941469426125,0.985305318476074,0.999284335239868
387.5659175346329,0.9826905891258505,0.9993171866566919
390.2024203750045,0.9799347150174617,0.9993507407716373
392.83892321537616,0.9776978164133978,0.9993839088114306
395.4754260557478,0.9766027337357388,0.9994156557383771
398.1119288961194,0.977020323723908,0.9994452715793892
400.74843173649106,0.9789431203988536,0.9994723424052149
403.3849345768627,0.9820023220243256,0.9994963530407164
406.0214374172343,0.9856110381499207,0.9995165505454973
408.65794025760596,0.9891652494846922,0.9995324784906467
411.2944430979776,0.9922133511627214,0.9995442909549462
413.9309459383492,0.9945366626213336,0.9995524288655214
416.56744877872086,0.9961332359575273,0.999557198468432
419.2039516190925,0.9971407263479871,0.9995587620770718
421.8404544594641,0.997746932483656,0.9995573583666585
424.47695729983576,0.9981227046178224,0.9995533850909708
427.1134601402074,0.9983892458720695,0.9995473380515131
429.749962980579,0.9986133771801291,0.9995397694106073
432.38646582095066,0.9988182738366589,0.999531034638515
435.0229686613223,0.9989982210266098,0.9995211741237227
437.65947150169393,0.9991313785366415,0.9995101349099464
440.29597434206556,0.9991897375181706,0.9994981304415067
442.9324771824372,0.99914812803829,0.9994858141877245
445.56898002280883,0.9989939407784465,0.9994740723389517
448.20548286318046,0.9987367675056029,0.9994636345758158
450.8419857035521,0.9984142449263342,0.9994548756106068
453.47848854392373,0.9980892989523781,0.9994479432385274
456.11499138429537,0.9978363503959916,0.9994428886427571
458.751494224667,0.9977193369960461,0.9994396436232823
461.38799706503863,0.9977694371547584,0.9994380030988051
464.02449990541027,0.9979721969869989,0.9994376093898386
466.6610027457819,0.9982687923168493,0.999437940518452
469.29750558615353,0.998569097517251,0.999438508284466
471.93400842652517,0.9987675960460455,0.9994389342607991
474.5705112668968,0.9987532207629127,0.9994385336617919
477.20701410726844,0.9984096086100829,0.999436014327331
479.84351694764007,0.9976116500907709,0.9994299803997414
482.4800197880117,0.9962323565525102,0.9994197306481747
485.11652262838334,0.9941753486385713,0.9994056304589634
487.75302546875497,0.9914377104818595,0.999388832357095
490.3895283091266,0.9881844131309603,0.9993706997453801
493.02603114949824,0.9847906062522486,0.9993524372250052
495.66253398986987,0.9818037799449225,0.9993350054653036
498.2990368302415,0.9798097868564416,0.9993190598954579
500.93553967061314,0.9792439841163857,0.9993049363636006
503.5720425109848,0.980231130858794,0.9992926844290989
506.2085453513564,0.9825358809278418,0.9992817279130822
508.84504819172804,0.9856490500250366,0.9992705618096347
511.4815510320997,0.9889675157628849,0.9992572715969028
514.1180538724714,0.991978877452069,0.9992403679753591
516.754556712843,0.9943707980534098,0.9992190254093433
519.3910595532147,0.996036832049886,0.9991928643144266
522.0275623935864,0.9970091437233745,0.999161868658368
524.6640652339581,0.9973759122985515,0.9991266721055335
527.3005680743298,0.99723178814006,0.9990889452177955
529.9370709147015,0.9966746126496079,0.9990513891034752
532.5735737550732,0.9958302750182186,0.9990172674746172
535.2100765954449,0.9948718316348395,0.9989896487281531
537.8465794358166,0.9940052012127735,0.9989705383367672
540.4830822761883,0.9934185717336846,0.9989604599599734
543.11958511656,0.9932187778645458,0.9989589023259667
545.7560879569317,0.9933921527322213,0.9989650325361237
548.3925907973033,0.9938140053358286,0.9989778125141838
551.029093637675,0.9943040549316361,0.9989957631780485
553.6655964780467,0.9946999118719073,0.9990171714441484
556.3020993184184,0.9949144851951497,0.999040798827262
558.9386021587901,0.9949548383844166,0.9990664397217247
561.5751049991618,0.994899590894839,0.9990947456068461
564.2116078395335,0.9948534829385397,0.9991265832755751
566.8481106799052,0.9948945485003525,0.9991625111190786
569.4846135202769,0.9950517211666566,0.9992025573569062
