F_bin_center,pdf_mlp,pdf_truth
0.05918367346938776,0.00915044071510383,0.12373112469067221
0.07755102040816327,0.010336608955950623,0.1264807052393538
0.09591836734693877,0.013556208466820489,0.11426034724521335
0.11428571428571428,0.015759092342678818,0.10601160559916853
0.13265306122448978,0.016945260583525624,0.11456585619506694
0.15102040816326529,0.024570627846112136,0.12067603519213708
0.1693877551020408,0.031009826867851868,0.14175615273202938
0.1877551020408163,0.03711012067792109,0.13197986633671702
0.2061224489795918,0.03694066807208583,0.12923028578803541
0.22448979591836732,0.04846344526888325,0.15153243912734177
0.24285714285714283,0.05541100210812875,0.15305998387660932
0.26122448979591834,0.07388133614417167,0.15428201967602337
0.27959183673469384,0.08675973418765114,0.1606977076229471
0.29795918367346935,0.10675514167621135,0.1787227356643043
0.31632653061224486,0.10861912034039917,0.18208333411269292
0.33469387755102037,0.12946179085813567,0.19369267420712635
0.3530612244897959,0.13725661072655745,0.197053272655515
0.3714285714285714,0.14623759883582602,0.21416177384731164
0.3897959183673469,0.16724972195939777,0.22760416764086616
0.4081632653061224,0.18656731902461698,0.22027195284438186
0.4265306122448979,0.20452929524315414,0.25204488362914707
0.4448979591836734,0.2482480675486502,0.26059913422504544
0.4632653061224489,0.2821385887157014,0.2709864385200648
0.48163265306122444,0.3402608325171943,0.2945106276587852
0.5,0.36093405042909443,0.32567254054384237
0.5183673469387755,0.38635194130438394,0.35072427443183135
0.536734693877551,0.41617559993138903,0.3714988830218701
0.5551020408163265,0.47158660203951774,0.3950230721605905
0.573469387755102,0.4876845995938671,0.45123671893363665
0.5918367346938775,0.5593630518621804,0.4814821049691343
0.610204081632653,0.5908812365475381,0.5337241353940848
0.6285714285714286,0.6644236674800392,0.5709962272762132
0.6469387755102041,0.7355937619308468,0.6137674802557048
0.6653061224489796,0.8089667402575127,0.6809794492234774
0.6836734693877551,0.8791201190733088,0.7457473465924218
0.7020408163265306,1.007734646902268,0.8001279396663469
0.7204081632653061,1.0656874380979258,0.9104166705634646
0.7387755102040816,1.1931157976860383,1.0393414474016465
0.7571428571428571,1.3517234367478381,1.1780425106351409
0.7755102040816326,1.550830248604264,1.3995364992789368
0.7938775510204081,1.7929780223428449,1.5122693017748825
0.8122448979591836,2.0090300947827964,1.7915044819409922
0.8306122448979592,2.3323456667164653,2.122065165682492
0.8489795918367347,2.8235887710328726,2.535418774834293
0.8673469387755102,3.4242982587188555,3.1977621781167063
0.8857142857142857,4.161247641496384,4.076405917895405
0.9040816326530612,5.447901277603484,5.409035957156423
0.9224489795918367,7.221731155486945,7.44372556318081
0.9408163265306122,10.183932158093057,11.287944679187547
