physics,mean_F_pred_seed42,mean_F_bootstrap_mean,mean_F_bootstrap_lo,mean_F_bootstrap_hi
P1,0.97895,0.9671436309814453,0.9658262395858764,0.9690174674987793
P2,0.97536,0.9703475594520569,0.9687237882614136,0.972387387752533
P3,0.97819,0.9723970055580139,0.9709198379516601,0.974191472530365
P4,0.98154,0.9735496044158936,0.9726870393753052,0.9742831802368164
